id,lnTE.WT,wt_TE,geneSymbol,Nm_AUG_status
uc002eeo.2,0.050716303,1.052024395,DNAJA2,AUG
uc002eer.2,-0.263792019,0.76813328,NETO2,AUG
uc002eet.3,0.532510815,1.703203373,ITFG1,AUG
uc002eev.4,-0.171065077,0.842766727,PHKB,AUG
uc002efi.1,0.452827456,1.572752794,LONP2,AUG
uc002efo.1,0.563845285,1.757417295,SIAH1,AUG
uc002efp.3,0.781105316,2.183884815,N4BP1,AUG
uc002efw.3,0.572235331,1.772224135,HEATR3,AUG
uc002ege.2,0.252765463,1.287581256,BRD7,AUG
uc002egq.1,0.507662456,1.66140305,CYLD,AUG
uc002ehi.4,0.099463277,1.104577907,RBL2,AUG
uc002ehr.3,0.60279467,1.827218143,FTO,AUG
uc002eiy.4,-0.12996906,0.8781226,AMFR,AUG
uc002eja.3,-0.831560888,0.435369193,NUDT21,AUG
uc002ejb.3,0.609457826,1.839433835,OGFOD1,AUG
uc002ejd.2,0.893421482,2.443475673,BBS2,AUG
uc002ejh.3,1.009858438,2.74521237,MT2A,AUG
uc002ejl.3,0.555412473,1.742659637,MT1E,AUG
uc002ejy.3,1.157565951,3.182178264,MT1X,AUG
uc002eka.3,0.450739508,1.569472394,NUP93,AUG
uc002eke.2,0.944792734,2.572280177,HERPUD1,AUG
uc002elf.1,0.351571909,1.421299948,ARL2BP,AUG
uc002ell.1,0.560317287,1.751228054,CIAPIN1,AUG
uc002elq.3,0.576702267,1.780158254,COQ9,AUG
uc002elt.1,0.339102974,1.403687881,POLR2C,AUG
uc002eml.1,0.584415406,1.793941951,KATNB1,AUG
uc002emp.3,0.150788261,1.162750432,KIFC3,AUG
uc002emz.3,1.159570087,3.188562177,USB1,AUG
uc002enb.1,0.91602149,2.499326986,C16orf80,AUG
uc002enc.3,1.402447817,4.065138513,CSNK2A2,AUG
uc002ens.3,0.787248306,2.197341688,SETD6,AUG
uc002env.4,-0.718043962,0.487705294,CNOT1,AUG
uc002eof.1,0.046133592,1.047214301,GOT2,AUG
uc002eos.3,0.622623845,1.863811985,TK2,AUG
uc002eqb.1,-0.187450169,0.829070431,DYNC1LI2,AUG
uc002eqf.3,-0.101146627,0.903800502,NAE1,AUG
uc002eqk.2,0.736087458,2.0877511,PDP2,AUG
uc002erb.3,-0.856862536,0.424491823,CBFB,AUG
uc002erd.3,1.096511311,2.993703684,C16orf70,AUG
uc002erz.3,0.483096127,1.621085728,E2F4,AUG
uc002esi.2,0.856702564,2.355381156,TMEM208,AUG
uc002esl.3,1.21850693,3.382134199,FHOD1,AUG
uc002ete.1,0.724502459,2.063704067,ATP6V0D1,AUG
uc002etl.3,0.718406673,2.051162433,CTCF,AUG
uc002etq.4,1.316618831,3.730785611,ACD,AUG
uc002eun.4,1.187145201,3.277710633,CENPT,AUG
uc002euo.3,0.632851017,1.882971317,THAP11,AUG
uc002eup.3,-0.021395727,0.978831538,NUTF2,AUG
uc002eur.3,0.76428496,2.147458307,EDC4,AUG
uc002eux.2,1.047943445,2.85178024,PSMB10,AUG
uc002evh.2,1.157397555,3.181642443,DDX28,AUG
uc002evo.2,0.032572899,1.033109203,NFATC3,AUG
uc002evq.1,0.978383949,2.660153822,ESRP2,AUG
uc002evr.3,1.127738347,3.088663111,PLA2G15,AUG
uc002evu.2,0.011374698,1.011439636,SLC7A6,AUG
uc002evw.2,0.950981514,2.588248815,SLC7A6OS,AUG
uc002evy.2,0.856974087,2.356020783,PRMT7,AUG
uc002ewi.4,0.436467654,1.547232195,TANGO6,AUG
uc002ews.4,0.834635477,2.303974044,CIRH1A,AUG
uc002ewu.3,-0.062383786,0.939522242,SNTB2,AUG
uc002eww.3,0.591032302,1.805851638,VPS4A,AUG
uc002ewy.2,1.001989204,2.723694427,COG8,AUG
uc002exa.3,0.236724122,1.267091507,NIP7,AUG
uc002exd.4,1.132060428,3.102041453,TERF2,AUG
uc002exg.1,-0.453083179,0.635665257,CYB5B,AUG
uc002exl.2,0.088439644,1.092468314,NFAT5,AUG
uc002exp.3,-0.143176429,0.866601162,NQO1,AUG
uc002exs.4,1.135956596,3.114151103,NOB1,AUG
uc002exv.2,1.075839331,2.932453167,WWP2,AUG
uc002eym.1,0.512866763,1.67007204,EXOSC6,AUG
uc002eyn.1,0.407052241,1.50238259,AARS,AUG
uc002eyo.4,1.005635154,2.733643006,DDX19B,AUG
uc002ezc.3,0.642779797,1.901760045,COG4,AUG
uc002ezf.3,-0.597679958,0.55008638,SF3B3,AUG
uc002ezj.3,0.788939252,2.201060417,MTSS1L,AUG
uc002ezm.3,1.237669845,3.447570724,VAC14,AUG
uc002fbm.2,0.449292488,1.567202978,IST1,AUG
uc002fcb.3,0.753690396,2.124827018,DHX38,AUG
uc002fck.3,0.452991427,1.573010701,ZFHX3,AUG
uc002fcq.3,0.209679236,1.233282404,PSMD7,AUG
uc002fcx.3,0.589131222,1.802421831,GLG1,AUG
uc002fda.3,-0.223507933,0.799708548,RFWD3,AUG
uc002fdb.2,1.015445597,2.760593235,MLKL,AUG
uc002fdh.1,0.839573353,2.315378917,WDR59,AUG
uc002fdy.3,1.075518946,2.931513803,CFDP1,AUG
uc002fen.3,0.885434524,2.424037465,GABARAPL2,AUG
uc002feo.2,0.576460173,1.77972734,ADAT1,AUG
uc002fer.3,-0.172422552,0.841623468,KARS,AUG
uc002fet.2,0.876278246,2.401943607,TERF2IP,AUG
uc002fez.3,0.754716129,2.127007642,MON1B,AUG
uc002ffk.3,1.434637326,4.198122183,WWOX,AUG
uc002ffs.3,0.415663868,1.515376417,CDYL2,AUG
uc002ffu.3,0.399664137,1.491323733,CMC2,AUG
uc002ffy.4,-0.025544905,0.974778606,CENPN,AUG
uc002ffz.1,-0.748441274,0.473103417,ATMIN,AUG
uc002fgd.3,0.148825916,1.160470952,GCSH,AUG
uc002fgp.3,0.871851936,2.391335355,CMIP,AUG
uc002fgw.3,0.965507463,2.626119977,MPHOSPH6,AUG
